,Period,This Period,This Period,Last Period,Last Period
,Item,Items sold,% change,Items sold,% change
150,Ferrero Rocher Cheesecake,11,'-27%,15,
151,Kinder,60,'-27%,82,
152,Orignal Churros,26,'-28%,36,
153,Movenpick Vanilla Dream,5,'-29%,7,
154,Custard,32,'-29%,45,
155,Lotus biscoff,22,'-29%,31,
156,Kinder Bueno (White),14,'-30%,20,
157,Oreo-Tella Cookie Dough,7,'-30%,10,
158,Rubicon Passion Fruit,7,'-30%,10,
159,Strawberry Cheesecake,11,'-31%,16,
160,Oreo,37,'-31%,54,
161,Strawberry Mojito,21,'-32%,31,
162,Kanafeh Strawberry Cup,72,'-33%,108,
163,Whippy Vanilla Ice Cream (8oz),12,'-33%,18,
164,Apple Crumble,8,'-33%,12,
165,Extra Strawberries,6,'-33%,9,
166,Cookies & Cream Churros,2,'-33%,3,
167,Jam & Coconut Sponge Cake,2,'-33%,3,
168,Milk Chocolate Shot 4oz,2,'-33%,3,
169,Shakshuka Breakfast,2,'-33%,3,
170,Salaam Cola,17,'-35%,26,
171,Oreo & Cream Milk Cake,9,'-36%,14,
172,Nutella Loaded Kanafeh,14,'-36%,22,
173,Iced Mango Matcha,5,'-38%,8,
174,J20 Apple & Raspberry,5,'-38%,8,
175,One-Pot Skillet Breakfast,3,'-40%,5,
176,Oreo Heaven Sundae,3,'-40%,5,
177,Chocorocher Waffle,10,'-41%,17,
178,Tiramisu,7,'-42%,12,
179,Milk Chocolate,11,'-42%,19,
180,Chicken Egg Paratha Roll,4,'-43%,7,
181,Raspberry & Pistachio French Toast,4,'-43%,7,
182,Crunchie Chicken Burger,15,'-44%,27,
183,Full,86,'-46%,159,
184,Half,27,'-46%,50,
185,White Choc & Strawberry Waffle,10,'-47%,19,
186,Chocolate Explosion Waffle,10,'-50%,20,
187,Royal Ferrero Cookie Dough,8,'-50%,16,
188,Mango & Passion Breeze,5,'-50%,10,
189,Royal Ferrero Sundae,5,'-50%,10,
190,Iced Strawberry Matcha,4,'-50%,8,
191,Luscious Lotus Crepe,4,'-50%,8,
192,Small Chocolate Shot,3,'-50%,6,
193,Bubblegum,2,'-50%,4,
194,Iced Pistachio Latte,2,'-50%,4,
195,Add Extra Fruit,1,'-50%,2,
196,Choco Crunch Swirl,1,'-50%,2,
197,Flat White,1,'-50%,2,
198,San Sebastian Cheesecake (Pistachio Sauce),1,'-50%,2,
199,Vanilla Syrup,1,'-50%,2,
200,White Chocolate Shot 4oz,1,'-50%,2,
201,Iced Latte,5,'-55%,11,
202,Lotus Biscoff French Toast,4,'-56%,9,
203,Oreo Blossom Crepe,4,'-56%,9,
204,Pistachio Milk Cake,25,'-56%,57,
205,Extra Chocolate,7,'-56%,16,
206,Iced Vanilla Oat Matcha,7,'-56%,16,
207,Caramel,3,'-57%,7,
208,Crunchie,3,'-57%,7,
209,Sticky Toffee Pudding,3,'-57%,7,
210,Chopped Strawberries (4oz),5,'-58%,12,
211,Kanafeh Brownie,2,'-60%,5,
212,Strawberry & Pistachio,2,'-60%,5,
213,Fire Cracker Chicken Bowl,5,'-62%,13,
214,Pistachio Knafeh Swirl,3,'-63%,8,
215,Snickers,3,'-63%,8,
216,Crispy Chicken Mountain Bowl,5,'-64%,14,
217,Chocolate Dream Cake,10,'-66%,29,
218,Pistachio Kanafeh Dream Cake,7,'-67%,21,
219,Cappuccino,1,'-67%,3,
220,Cookie Crumb Swirl,1,'-67%,3,
221,Raspberry Kiss Cookie Dough,3,'-70%,10,
222,Nutella Milk Cake,4,'-75%,16,
223,Raspberry Sensation Waffle,2,'-75%,8,
224,Extra Fudge Brownies,1,'-75%,4,
225,San Sebastian Cheesecake (White chocolate),1,'-75%,4,
226,Hazel Nutter Crepe,2,'-78%,9,
227,Oreo Overload Waffle,5,'-78%,23,
228,Fruitella Waffle,8,'-79%,38,
229,White Hot Chocolate,1,'-80%,5,
230,Iced Mocha,1,'-83%,6,
231,Lotus Biscoff Kanafeh,1,'-83%,6,
232,Raspberry Temptation Crepe,1,'-83%,6,
233,Baked Beans,2,,,
234,Mini Marshamallow Halal (4oz),2,,,
235,Pistachio Latte (Hot),2,,,
236,E,1,,,
237,Ex biscoff on shake,1,,,
238,Ex choc sauce on dough,1,,,
239,Ex nutella oon crepe,1,,,
240,Ex strawberries on one  choc chip cookie dough,1,,,
241,Extra katafi,1,,,
242,Hash Browns (2pcs),1,,,
243,Hazelnut and vanilla syrup,1,,,
244,Icecream,1,,,
245,Iced Luna Latte,1,,,
246,Iced Red Velvet Latte,1,,,
247,Large Chocolate Shot,1,,,
248,Lava caken,1,,,
249,Lotus crumbs,1,,,
250,Peach Frozen,1,,,
251,Pista,1,,,
252,Scrambled Eggs,1,,,
253,Strawberries on side for churros,1,,,
